file,components_found,removed_components,removed_sizes,kept_sizes,changed,output_file
characters/caster/007_mythic_caster_007.png,2,0,,128046|1145,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/007_mythic_caster_007.png
characters/caster/008_mythic_caster_008.png,1,0,,129307,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/008_mythic_caster_008.png
characters/caster/009_mythic_caster_009.png,1,0,,129050,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/009_mythic_caster_009.png
characters/caster/010_mythic_caster_010.png,1,0,,139444,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/010_mythic_caster_010.png
characters/caster/011_mythic_caster_011.png,1,0,,138749,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/011_mythic_caster_011.png
characters/caster/012_mythic_caster_012.png,1,0,,132267,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/012_mythic_caster_012.png
characters/caster/013_mythic_caster_013.png,1,0,,129959,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/013_mythic_caster_013.png
characters/caster/014_mythic_caster_014.png,1,0,,140360,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/014_mythic_caster_014.png
characters/caster/015_mythic_caster_015.png,1,0,,133886,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/015_mythic_caster_015.png
characters/caster/016_mythic_caster_016.png,1,0,,133264,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/016_mythic_caster_016.png
characters/caster/017_mythic_caster_017.png,1,0,,141906,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/017_mythic_caster_017.png
characters/caster/018_mythic_caster_018.png,1,0,,137196,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/018_mythic_caster_018.png
characters/caster/019_mythic_caster_019.png,1,0,,137889,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/019_mythic_caster_019.png
characters/caster/020_mythic_caster_020.png,1,0,,133368,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/020_mythic_caster_020.png
characters/caster/021_mythic_caster_021.png,3,0,,141904|1216|928,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/021_mythic_caster_021.png
characters/caster/022_mythic_caster_022.png,1,0,,139511,False,/root/perbug/generated_assets_cleaned_very_strict/characters/caster/022_mythic_caster_022.png
